company,funding_rounds,total_funding_usd
Intarcia Therapeutics,8,380097291.0
InVision,6,51116400.0
Vox Media,6,61132220.0
Lookout,5,131000000.0
MediaMath,5,26876550.0
Modernizing Medicine,5,40165995.0
Proterra,5,112000000.0
Zopa,5,33900000.0
AppDirect,4,23499820.0
Circle,4,6000000.0
Flipboard,4,160500000.0
HeartFlow,4,107016021.0
InMobi,4,215600000.0
Klarna,4,166280000.0
Mixpanel,4,12000000.0
Noom,4,2600000.0
SnapLogic,4,34800000.0
Snapdeal,4,202000000.0
Splashtop,4,45500000.0
Stripe,4,40000000.0
Symphony,4,750000.0
ZocDoc,4,97000000.0
Betterfly,3,2500000.0
BloomReach,3,41000000.0
CloudBees,3,16500000.0
Dataminr,3,47586000.0
Deezer,3,149300000.0
Druva,3,42000000.0
Formlabs,3,22300000.0
Hailo,3,50600000.0
Hopper,3,21723709.0
Houzz,3,48600000.0
Intercom,3,7750000.0
Jobandtalent,3,4731330.0
Movile,3,1000000.0
Nexthink,3,12150000.0
Ola Cabs,3,25000000.0
Omada Health,3,5520000.0
Planet Labs,3,26416000.0
Sift,3,4666789.0
Slice,3,37425999.0
SoundHound,3,4000000.0
Tealium,3,27200000.0
Thumbtack,3,18200000.0
Uptake,3,14000000.0
Vestiaire Collective,3,31725050.0
Age of Learning,2,31500000.0
Automattic,2,30600000.0
Betterment,2,13000000.0
BitSight Technologies,2,25035000.0
Bolt,2,5016000.0
C2FO,2,27100000.0
Canva,2,3105000.0
Contentful,2,0.0
Course Hero,2,2383000.0
DataRobot,2,3300000.0
Earnix,2,10000000.0
Fanatics,2,395000000.0
Feedzai,2,4473643.0
GetYourGuide,2,16000000.0
GoCardless,2,4800000.0
Gousto,2,2808357.0
ID.me,2,3300000.0
Illumio,2,42500000.0
Instacart,2,10800000.0
JoyTunes,2,2000000.0
Lattice,2,1509600.0
Mu Sigma,2,133000000.0
Netskope,2,21400000.0
Qumulo,2,26800000.0
Quora,2,71000000.0
Reify Health,2,350000.0
SMS Assist,2,60000000.0
SalesLoft,2,18000.0
SmartAsset,2,2400000.0
SmartRecruiters,2,15460000.0
Strava,2,16100000.0
SumUp,2,20000000.0
Tarana Wireless,2,14142157.0
The Zebra,2,4500063.0
Tradeshift,2,24000000.0
Tresata,2,1250000.0
Trulioo,2,2300000.0
Venafi,2,16000000.0
Visier,2,21000000.0
Webflow,2,0.0
Yotpo,2,2300000.0
Zapier,2,1200000.0
ezCater,2,2790000.0
iFood,2,4160000.0
o9 Solutions,2,6000000.0
