company,funding_round_type,funded_at,raised_amount_usd
Flipboard,series-c+,2013-12-09,50000000.0
Gousto,series-a,2013-12-09,2000000.0
The Zebra,series-a,2013-12-06,3000063.0
Heyday,series-a,2013-12-05,2000000.0
Vox Media,venture,2013-12-03,3632220.0
Coda Payments,series-a,2013-12-02,2300000.0
SafetyCulture,series-a,2013-11-27,3000000.0
Rokt,series-a,2013-11-26,8000000.0
TalkingData,series-a,2013-11-26,10000000.0
Carousell,angel,2013-11-13,800000.0
Ola Cabs,series-b,2013-11-12,20000000.0
VANCL,venture,2013-11-12,100000000.0
Formlabs,series-a,2013-10-24,19000000.0
Noom,other,2013-10-22,0.0
SMS Assist,venture,2013-10-22,45000000.0
Proterra,series-c+,2013-10-17,24000000.0
Justworks,angel,2013-10-16,1000000.0
Druva,series-c+,2013-10-15,25000000.0
o9 Solutions,venture,2013-10-15,3000000.0
Vox Media,series-c+,2013-10-15,34000000.0
Lookout,series-c+,2013-10-10,55000000.0
Wave,venture,2013-10-10,1400000.0
Newsela,angel,2013-10-09,1200000.0
Loom,angel,2013-10-04,1400000.0
Algolia,series-a,2013-10-01,1500000.0
Upside,angel,2013-10-01,415000.0
Databricks,venture,2013-09-25,14000000.0
Flipboard,series-c+,2013-09-23,50000000.0
Gousto,angel,2013-09-23,808357.0
Illumio,series-b,2013-09-20,34500000.0
Plaid,series-a,2013-09-19,2800000.0
ID.me,other,2013-09-17,1200000.0
DataRobot,series-a,2013-09-16,3300000.0
Lydia,angel,2013-09-16,771960.0
Socure,series-a,2013-09-13,1700000.0
Salsify,series-a,2013-09-12,8000000.0
AppDirect,series-b,2013-09-10,9000000.0
BrewDog,crowdfunding,2013-09-03,4545754.0
Vestiaire Collective,series-c+,2013-09-02,20000000.0
Webflow,angel,2013-09-01,0.0
Purplle,series-a,2013-08-26,0.0
Slice,series-b,2013-08-23,23000000.0
SmartRecruiters,series-b,2013-08-22,10000000.0
Betterfly,angel,2013-08-21,1000000.0
Unite Us,series-a,2013-08-21,2000000.0
Modernizing Medicine,series-c+,2013-08-20,14000000.0
Snapdeal,series-c+,2013-08-13,75000000.0
Patreon,series-a,2013-08-01,2100000.0
Zenefits,series-a,2013-07-26,2100000.0
Vedantu,angel,2013-07-25,400000.0
